asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
光復自強外役監獄,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,Y,Hualien City shelter — outside Guangfu zone
大同活動中心,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,Y,Hualien City shelter — outside Guangfu zone
馬太鞍社區活動中心,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,Y,Hualien City shelter — outside Guangfu zone
鳳義社區活動中心,W3-shelter,花蓮縣鳳林鎮,high,N/A,N,N,Y,Hualien City shelter — outside Guangfu zone
Foxu_Debris_Zone,critical_infra,Guangfu Township,MED,N/A,N,N,Y,佛祖街沉積區中心
Guangfu_Township_Office,shelter,Guangfu Township,HIGH,N/A,N,N,Y,光復鄉公所
富民社區活動中心,W3-shelter,花蓮縣瑞穗鄉,low,N/A,N,Y,N,Hualien City shelter — outside Guangfu zone
月眉活動中心,W3-shelter,花蓮縣壽豐鄉,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
志學活動中心,W3-shelter,花蓮縣壽豐鄉,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
南昌活動中心,W3-shelter,花蓮縣吉安鄉,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
中正國小,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花蓮城隍廟香客大樓,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
五穀宮,W3-shelter,花蓮縣吉安鄉,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
忠孝國小,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
主權社區活動中心,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
國風國中,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
國立花蓮農業職業學校,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花蓮高商,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
永安活動中心,W3-shelter,花蓮縣吉安鄉,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
鑄強國小,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
"慈濟大學附設國民中學,小學",W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
美崙國中,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
私立四維高級中學,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
大陳二村活動中心,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
新城鄉立圖書館,W3-shelter,花蓮縣新城鄉,medium,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
